character_id_mal,character_id_anilist,name,alt_names,gender,species_tags,role,age,height_cm,popularity_mal_favorites,popularity_anilist_favorites,anime_id_mal,anime_id_anilist,anime_title,anime_year_start,universe,image_url,validated,sources
417,417,Lelouch Lamperouge,Lulu; Zero; King of Elevens; The Demon; Black King; Black Demon; Julius Kingsley; ルルーシュ・ランペルージ,Male,Dämon; Elf; Mecha-Pilot; Ritter,Main,17-18,178,175056,23913,1575,1575,Code Geass: Hangyaku no Lelouch,2006,Code Geass: Hangyaku no Lelouch,https://cdn.myanimelist.net/images/characters/8/406163.jpg,false,jikan; anilist
40,40,Luffy Monkey D.,Straw Hat; Mugiwara; Straw; Mugi; Lucy; Luffyland; Mugiwara no Luffy; Mugiwara-ya; Ruffy; モンキー・D・ルフィ,Male,Pirat,Main,17-,172,145255,32594,21,21,One Piece,1999,One Piece,https://cdn.myanimelist.net/images/characters/9/310307.jpg,false,jikan; anilist
45627,45627,Levi,Levi Heichou (リヴァイ兵長); Captain Levi; Jinrui Saikyou no Heishi (人類最強の兵士); Humanity's Strongest Soldier; Heishichou (兵士長); リヴァイ,Male,Mensch,Supporting,,160,144190,32080,16498,16498,Shingeki no Kyojin,2013,Shingeki no Kyojin,https://cdn.myanimelist.net/images/characters/2/241413.jpg,false,jikan; anilist
71,71,L Lawliet,Ryuga Hideki; Ryuzaki; Eraldo Coil; Deneuve; Asahi; Suzuki; L-Prime; エル・ローライト,Male,Dämon; Elf; Ork,Main,24-25,179,129066,21201,1535,1535,Death Note,2006,Death Note,https://cdn.myanimelist.net/images/characters/10/249647.jpg,false,jikan; anilist
62,62,Zoro Roronoa,Zolo; Pirate Hunter; Marimo Head; Mr. Bushido; Zorojuro; Moss Head; Lorenor Zorro; ロロノア・ゾロ,Male,Elf; Samurai; Pirat,Main,19-,178,114030,26398,21,21,One Piece,1999,One Piece,https://cdn.myanimelist.net/images/characters/3/100534.jpg,false,jikan; anilist
27,27,Killua Zoldyck,Kill; Kil; Evans; キルア=ゾルディック,Male,Dämon; Bogenschütze/Waldläufer; Assassine; Jäger,Main,11-,158,99476,29974,136,136,Hunter x Hunter,1999,Hunter x Hunter,https://cdn.myanimelist.net/images/characters/2/327920.jpg,false,jikan; anilist
80,80,Light Yagami,Kira; Light Asahi; God; 夜神月,Male,Gott; Ork,Main,17-23,179,98304,16932,1535,1535,Death Note,2006,Death Note,https://cdn.myanimelist.net/images/characters/6/63870.jpg,false,jikan; anilist
35252,35252,Rintarou Okabe,Rintaro; Hououin Kyouma (鳳凰院凶真); Okarin (オカリン); Mad Scientist; Future Gadget Lab Member #001; Lintahlo; M3; Salieri's Neighbor; Rinta-kun; 岡部倫太郎,Male,Dämon; Elf; Magier,Main,18,177,97744,18594,9253,9253,Steins;Gate,2011,Steins;Gate,https://cdn.myanimelist.net/images/characters/6/122643.jpg,false,jikan; anilist
11,11,Edward Elric,Ed; Fullmetal Alchemist; Pipsqueak; Little Red Runt; Shorty; Insect; Hero of the People; エドワード・エルリック,Male,Mensch; Dämon; Gott; Elf; Krieger; Alchemist,Main,"15-16 (series), 18 (movie, End of the series)",149,89453,16514,121,121,Fullmetal Alchemist,2003,Fullmetal Alchemist,https://cdn.myanimelist.net/images/characters/9/72533.jpg,false,jikan; anilist
17,17,Naruto Uzumaki,Nine-Tails Jinchuuriki; The Show-Off; Number One Unpredictable; Noisy Ninja; Number One Hyperactive; Knucklehead Ninja; Fox; うずまきナルト,Male,Mensch; Dämon; Ork; Ninja,Main,"12-17 (Naruto), 27- (Boruto)",145-147,86081,15649,20,20,Naruto,2002,Naruto,https://cdn.myanimelist.net/images/characters/12/61330.jpg,false,jikan; anilist
422,422,Guts,The Black Swordsman; Hundred Man Slayer; Heartless Swordsman; Struggler; Kuroi Kenshi; ガッツ,Male,Dämon; Elf; Drache,Main,,190,84756,21751,33,33,Kenpuu Denki Berserk,1997,Kenpuu Denki Berserk,https://cdn.myanimelist.net/images/characters/13/284125.jpg,false,jikan; anilist
672,672,Gintoki Sakata,Yorozuya; Mr. Odd Jobs; Shiroyasha; Gin; Gin-chan; Kintoki; Paako; Ginpachi-sensei; Ginnoji; GFundz; Boss; Ginpachi Sakata (坂田銀八); Corpse Eating Demon; White Yaksha; Gin-san; Tokiko; Ginko; Johnny; Danna; Earth Big Brother; Earth dad; 坂田銀時,Male,Elf; Alien; Samurai; Krieger,Main,27,177,75396,14781,918,918,Gintama,2006,Gintama,https://cdn.myanimelist.net/images/characters/15/241479.jpg,false,jikan; anilist
40882,40882,Eren Yeager,Eren Jaeger; Eren Jäger; Suicidal Maniac; Shi ni Isogi Yarou (死に急ぎ野郎); エレン・イェーガー,Male,Dämon; Elf,Main,15-,170,72965,27070,16498,16498,Shingeki no Kyojin,2013,Shingeki no Kyojin,https://cdn.myanimelist.net/images/characters/10/216895.jpg,false,jikan; anilist
34470,34470,Kurisu Makise,Christina; Assistant; American Virgin; Perverted Genius Girl; Celeb 17; The Zombie; Kuu-meow; k.makise; KuriGohan Kamehameha; Lab Member 004; KURI_KAME; 牧瀬紅莉栖,Female,Dämon,Main,18,160,67354,19716,9253,9253,Steins;Gate,2011,Steins;Gate,https://cdn.myanimelist.net/images/characters/12/492885.jpg,false,jikan; anilist
14,14,Itachi Uchiha,Sharingan no Itachi (写輪眼のイタチ); Itachi of the Sharingan; うちはイタチ,Male,Dämon; Gott; Elf; Ninja,Supporting,17-21,175,66812,18645,20,20,Naruto,2002,Naruto,https://cdn.myanimelist.net/images/characters/9/284122.jpg,false,jikan; anilist
164471,127691,Satoru Gojou,Satoru Gojo; 五条悟,Male,Ork; Magier,Main,28,190,62556,34179,38777,,Jujutsu Kaisen Official PVs,,Jujutsu Kaisen Official PVs,https://cdn.myanimelist.net/images/characters/15/422168.jpg,false,jikan; anilist
40881,40881,Mikasa Ackerman,ミカサ・アッカーマン,Female,,Main,15-,170,56014,21200,16498,16498,Shingeki no Kyojin,2013,Shingeki no Kyojin,https://cdn.myanimelist.net/images/characters/9/215563.jpg,false,jikan; anilist
87275,87275,Ken Kaneki,Eyepatch; Kane-yan; Kanekichi; 金木研,Male,Mensch; Elf; Ork; Ghoul,Main,18-29,169,53524,21779,22319,20605,Tokyo Ghoul,2014,Tokyo Ghoul,https://cdn.myanimelist.net/images/characters/15/307255.jpg,false,jikan; anilist
67065,67065,Hachiman Hikigaya,Hikki; Hikitani; Hikio; 8man; 比企谷八幡,Male,Dämon,Main,16-17,,52489,11471,14813,21769,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2016,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://cdn.myanimelist.net/images/characters/4/203555.jpg,false,jikan; anilist
85,85,Kakashi Hatake,The Copy Ninja; Kakashi of the Sharingan; Sukea; はたけカカシ,Male,Dämon; Elf; Ork; Magier; Ninja; Jäger,Main,25-29,,48502,17627,20,20,Naruto,2002,Naruto,https://cdn.myanimelist.net/images/characters/7/284129.jpg,false,jikan; anilist
1,1,Spike Spiegel,Spike Spike; Swimming Bird; スパイク・スピーゲル,Male,Dämon; Elf; Pirat; Jäger,Main,27,185,48242,12648,1,1,Cowboy Bebop,1998,Cowboy Bebop,https://cdn.myanimelist.net/images/characters/11/516853.jpg,false,jikan; anilist
73935,73935,Saitama,One Punch Man; Bald Cape; Hagemanto (ハゲマント); Caped Baldy; サイタマ,Male,Mensch; Elf,Main,25,175,48024,13668,30276,21087,One Punch Man,2015,One Punch Man,https://cdn.myanimelist.net/images/characters/11/294388.jpg,false,jikan; anilist
